epoch,places,demand,T,S,A,iterations
0,367,1835,0.6920980926430518,0.2,0.10790190735694823,192
1,367,1835,0.6915531335149864,0.2,0.10844686648501363,248
2,367,1835,0.688283378746594,0.2,0.11171662125340599,207
3,367,1835,0.6893732970027248,0.2,0.1106267029972752,247
4,367,1835,0.6888283378746594,0.2,0.1111716621253406,189
5,367,1835,0.6877384196185287,0.2,0.1122615803814714,215
6,367,1835,0.6899182561307902,0.2,0.11008174386920981,298
7,367,1835,0.691008174386921,0.2,0.10899182561307902,254
8,367,1835,0.6893732970027248,0.2,0.1106267029972752,178
9,367,1835,0.6893732970027248,0.2,0.1106267029972752,376
