epoch,places,demand,T,S,A,revisits,iterations
0,367,1835,0.6708446866485014,0.2,0.12915531335149863,1988,1650
1,367,1835,0.6730245231607629,0.2,0.12697547683923704,1199,1288
2,367,1835,0.6730245231607629,0.2,0.12697547683923704,1233,1155
3,367,1835,0.6746594005449591,0.2,0.12534059945504086,1858,1690
4,367,1835,0.6708446866485014,0.2,0.12915531335149863,1903,1655
5,367,1835,0.6730245231607629,0.2,0.12697547683923704,2247,1926
6,367,1835,0.6724795640326976,0.2,0.12752043596730245,1696,1481
7,367,1835,0.6735694822888283,0.2,0.12643051771117167,2163,1868
8,367,1835,0.6708446866485014,0.2,0.12915531335149863,1460,1450
9,367,1835,0.6735694822888283,0.2,0.12643051771117167,1604,1431
