date,George Simion,Nicușor Dan,Simion Change,Dan Change
2025-01-18,0.2,0.2,,
2025-01-19,0.155,0.265,-0.04500000000000001,0.065
2025-01-20,0.17,0.205,0.015000000000000013,-0.060000000000000026
2025-01-21,0.15,0.235,-0.020000000000000018,0.03
2025-01-22,0.155,0.14,0.0050000000000000044,-0.09499999999999997
2025-01-23,0.135,0.195,-0.01999999999999999,0.05499999999999999
2025-01-24,0.135,0.19,0.0,-0.0050000000000000044
2025-01-25,0.115,0.165,-0.020000000000000004,-0.024999999999999994
2025-01-26,0.115,0.175,0.0,0.009999999999999981
2025-01-27,0.115,0.14,0.0,-0.034999999999999976
2025-01-28,0.08,0.16,-0.035,0.01999999999999999
2025-01-29,0.075,0.185,-0.0050000000000000044,0.024999999999999994
2025-01-30,0.06,0.22,-0.015,0.035
2025-01-31,0.055,0.215,-0.0049999999999999975,-0.0050000000000000044
2025-02-01,0.065,0.205,0.010000000000000002,-0.010000000000000009
2025-02-02,0.075,0.195,0.009999999999999995,-0.009999999999999981
2025-02-03,0.085,0.2,0.010000000000000009,0.0050000000000000044
2025-02-04,0.1,0.19,0.015,-0.010000000000000009
2025-02-05,0.1,0.19,0.0,0.0
2025-02-06,0.095,0.195,-0.0050000000000000044,0.0050000000000000044
2025-02-07,0.105,0.195,0.009999999999999995,0.0
2025-02-08,0.125,0.18,0.020000000000000004,-0.015000000000000013
2025-02-09,0.08,0.225,-0.045,0.04500000000000001
2025-02-10,0.065,0.235,-0.015,0.009999999999999981
2025-02-11,0.055,0.175,-0.010000000000000002,-0.06
2025-02-12,0.065,0.18,0.010000000000000002,0.0050000000000000044
2025-02-13,0.07,0.175,0.0050000000000000044,-0.0050000000000000044
2025-02-14,0.075,0.215,0.0049999999999999906,0.04000000000000001
2025-02-15,0.06,0.195,-0.015,-0.01999999999999999
2025-02-16,0.055,0.185,-0.0049999999999999975,-0.010000000000000009
2025-02-17,0.065,0.195,0.010000000000000002,0.010000000000000009
2025-02-18,0.045,0.185,-0.020000000000000004,-0.010000000000000009
2025-02-19,0.055,0.165,0.010000000000000002,-0.01999999999999999
2025-02-20,0.06,0.175,0.0049999999999999975,0.009999999999999981
2025-02-21,0.065,0.185,0.0050000000000000044,0.010000000000000009
2025-02-22,0.065,0.185,0.0,0.0
2025-02-23,0.05,0.185,-0.015,0.0
2025-02-24,0.055,0.205,0.0049999999999999975,0.01999999999999999
2025-02-25,0.045,0.205,-0.010000000000000002,0.0
2025-02-26,0.065,0.225,0.020000000000000004,0.020000000000000018
2025-02-27,0.145,0.26,0.07999999999999999,0.035
2025-02-28,0.095,0.305,-0.04999999999999999,0.044999999999999984
2025-03-01,0.145,0.33,0.04999999999999999,0.025000000000000022
2025-03-02,0.14,0.35,-0.004999999999999977,0.019999999999999962
2025-03-03,0.115,0.42,-0.02500000000000001,0.07
2025-03-04,0.085,0.38,-0.03,-0.03999999999999998
2025-03-05,0.075,0.36,-0.010000000000000009,-0.020000000000000018
2025-03-06,0.085,0.365,0.010000000000000009,0.0050000000000000044
2025-03-07,0.095,0.39,0.009999999999999995,0.025000000000000022
2025-03-08,0.09,0.44,-0.0050000000000000044,0.04999999999999999
2025-03-09,0.095,0.38,0.0050000000000000044,-0.06
2025-03-10,0.155,0.4,0.06,0.020000000000000018
2025-03-11,0.22,0.42,0.065,0.019999999999999962
2025-03-12,0.175,0.445,-0.04500000000000001,0.025000000000000022
2025-03-13,0.255,0.405,0.08000000000000002,-0.03999999999999998
2025-03-14,0.22,0.405,-0.035,0.0
2025-03-15,0.215,0.4,-0.0050000000000000044,-0.0050000000000000044
2025-03-16,0.25,0.405,0.035,0.0050000000000000044
2025-03-17,0.285,0.385,0.034999999999999976,-0.020000000000000018
2025-03-18,0.27,0.41,-0.014999999999999958,0.024999999999999967
2025-03-19,0.245,0.415,-0.025000000000000022,0.0050000000000000044
2025-03-20,0.26,0.425,0.015000000000000013,0.010000000000000009
2025-03-21,0.26,0.43,0.0,0.0050000000000000044
2025-03-22,0.26,0.46,0.0,0.030000000000000027
2025-03-23,0.235,0.5,-0.025000000000000022,0.03999999999999998
2025-03-24,0.245,0.485,0.010000000000000009,-0.015000000000000013
2025-03-25,0.265,0.495,0.020000000000000018,0.010000000000000009
2025-03-26,0.235,0.43,-0.030000000000000027,-0.065
2025-03-27,0.235,0.465,0.0,0.03500000000000003
2025-03-28,0.23,0.445,-0.004999999999999977,-0.020000000000000018
2025-03-29,0.255,0.465,0.024999999999999994,0.020000000000000018
2025-03-30,0.25,0.475,-0.0050000000000000044,0.009999999999999953
2025-03-31,0.255,0.465,0.0050000000000000044,-0.009999999999999953
2025-04-01,0.255,0.425,0.0,-0.040000000000000036
2025-04-02,0.26,0.425,0.0050000000000000044,0.0
2025-04-03,0.275,0.4,0.015000000000000013,-0.024999999999999967
2025-04-04,0.295,0.39,0.019999999999999962,-0.010000000000000009
2025-04-05,0.29,0.395,-0.0050000000000000044,0.0050000000000000044
2025-04-06,0.295,0.395,0.0050000000000000044,0.0
2025-04-07,0.305,0.385,0.010000000000000009,-0.010000000000000009
2025-04-08,0.295,0.375,-0.010000000000000009,-0.010000000000000009
2025-04-09,0.295,0.385,0.0,0.010000000000000009
2025-04-10,0.275,0.425,-0.019999999999999962,0.03999999999999998
2025-04-11,0.275,0.435,0.0,0.010000000000000009
2025-04-12,0.285,0.45,0.009999999999999953,0.015000000000000013
2025-04-13,0.28,0.44,-0.004999999999999949,-0.010000000000000009
2025-04-14,0.285,0.43,0.004999999999999949,-0.010000000000000009
2025-04-15,0.235,0.375,-0.04999999999999999,-0.05499999999999999
2025-04-16,0.245,0.325,0.010000000000000009,-0.04999999999999999
2025-04-17,0.245,0.35,0.0,0.024999999999999967
2025-04-18,0.255,0.315,0.010000000000000009,-0.034999999999999976
2025-04-19,0.255,0.305,0.0,-0.010000000000000009
2025-04-20,0.25,0.265,-0.0050000000000000044,-0.03999999999999998
2025-04-21,0.245,0.285,-0.0050000000000000044,0.019999999999999962
2025-04-22,0.255,0.255,0.010000000000000009,-0.02999999999999997
2025-04-23,0.285,0.255,0.02999999999999997,0.0
2025-04-24,0.265,0.275,-0.019999999999999962,0.020000000000000018
2025-04-25,0.245,0.265,-0.020000000000000018,-0.010000000000000009
2025-04-26,0.295,0.265,0.04999999999999999,0.0
2025-04-27,0.295,0.275,0.0,0.010000000000000009
2025-04-28,0.295,0.285,0.0,0.009999999999999953
2025-04-29,0.305,0.315,0.010000000000000009,0.030000000000000027
2025-04-30,0.295,0.315,-0.010000000000000009,0.0
2025-05-01,0.305,0.335,0.010000000000000009,0.020000000000000018
2025-05-02,0.325,0.275,0.020000000000000018,-0.06
2025-05-03,0.275,0.265,-0.04999999999999999,-0.010000000000000009
2025-05-04,0.335,0.275,0.06,0.010000000000000009
2025-05-05,0.685,0.305,0.35000000000000003,0.02999999999999997
2025-05-06,0.735,0.265,0.04999999999999993,-0.03999999999999998
2025-05-07,0.705,0.29,-0.030000000000000027,0.024999999999999967
2025-05-08,0.725,0.275,0.020000000000000018,-0.014999999999999958
2025-05-09,0.715,0.285,-0.010000000000000009,0.009999999999999953
2025-05-10,0.675,0.325,-0.039999999999999925,0.040000000000000036
2025-05-11,0.655,0.335,-0.020000000000000018,0.010000000000000009
2025-05-12,0.665,0.335,0.010000000000000009,0.0
2025-05-13,0.645,0.355,-0.020000000000000018,0.019999999999999962
2025-05-14,0.625,0.375,-0.020000000000000018,0.020000000000000018
2025-05-15,0.595,0.405,-0.030000000000000027,0.030000000000000027
2025-05-16,0.515,0.485,-0.07999999999999996,0.07999999999999996
2025-05-17,0.475,0.52,-0.040000000000000036,0.03500000000000003
2025-05-18,0.515,0.48,0.040000000000000036,-0.040000000000000036
2025-05-19,0.0005,0.999,-0.5145000000000001,0.519
